Shoe,category,HowTo,EnergySaving
Cigarette,Cigarette,"Cigarettes are a big litter problem, but you can do your part by recycling the filters. Dispose of every cigarette properly in an ashtray or recycling bin instead of the trash.If you have an ashtray, push the cigarette’s lit end into it until the heat and smoke stop.Collect the cigarette filters in a plastic bag or container separate from other trash if you plan on recycling them.You can also purchase outdoor ashtrays online, from home improvement stores, and from restaurant supply stores. Tips 1: Cigarette filters are made from a non-biodegradable plastic, so recycle whenever you can. 2: Cigarette butts are pollution and may be eaten by animals, so throw them away instead of leaving them on the ground. 3: Recycle cigarette boxes through curbside programs that accept newspaper and other paper products. Warnings: To avoid fires, always extinguish cigarettes before throwing them away.",26%
Unlabeled litter,Unlabeled litter,"This means the trash which is not labeled can be recycle in the way that.Plastic bags– Not recyclable. Straws– Not recyclable. Coffee Cups– you need a special machine; without it, no. Keyboards– maybe, if you get it to the right person.Recycling  is determined by two really important things: the market and city government.Thermoplastics are plastics that can be re-melted and re-molded into new products, and therefore, recycled. However, thermoset plastics “contain polymers that cross-link to form an irreversible chemical bond,” meaning that no matter how much heat you apply, they cannot be remelted into new material and hence, non-recyclable. COFFEE CUPS CAN’T ACTUALLY BE RECYCLED.T.he cups cannot be recycled unless the materials are separated, which is impossible to do by hand and requires a special machine. Glass and metal (including aluminum) can be recycled infinitely without losing quality or purity in the product. Current biodegradable products can only decompose if they are sent to a special factory, where the temperature and humidity is specially controlled, and lumped together with other compostable plastics.",50%
Plastic drink bottle,Bottle,"Recycling plastic water bottles is an essential gesture to apply everyday. It is important to to know the do’s and don’ts of how to recycle to make sure we maintain a healthy ecosystem for generations to come. Put the water bottle cap back on after consuming. Crush your bottle. Bottles must be crushed and all of the air removed. Be sure to replace the cap back on after you have done this. This causes more space to be saved at the processing facility, reducing the need for expansion. You don’t need to spend extra time rinsing out bottles that might have some liquid inside of them. Just make sure they’re empty and that you place them in a recycling bin.Most people make the common mistake of bagging their water bottles and other plastics. Bagged items prevent the process from being completed and adds an extra step to the recycle process. Please place the water bottles in a recycling bin or bin free of any confinements.Think of your plastic bottles as starting its life once you consume it. It wants to do more in its life than end up straight in a landfill or on the side of the street. If you start recycling, you will feel much better about yourself and the environment.",45%
Plastic Film,Plastic bag & wrapper,"Plastic film, such as produce bags, dry cleaning bags, the wrap around paper towels and diapers, and more, can be recycled along with plastic bags.There are a few differences between recycling plastic film and recycling other plastics, like bottles, jars and jugs. The main difference? Except in a few cases, plastic film cannot be recycled in your curbside bin at home. Instead, it must be taken to a drop-off location, like a grocery or other retail store, to be collected for recycling.Plastic bags/wraps typically do not get recycled in curbside bins. Plastic wrap and film packaging are generally #2 and #4 plastic, both of which are recyclable. Most plastic bags are recycled into composite lumber, but can actually become a wide variety of products. Drop-off locations and curbside pick-up programs for these plastics are available all over the country.et or food-soiled plastic wrap and film should not be recycled as it can cause costly contamination during the recycling process.Tips 1: All items should be clean and free of food. 2: Tear off sticky labels where possible. 3: As a general rule, if you can stretch the film then it can be recycled. 4: Compostable and biodegradable bags are not designed to be recycled and if they enter the recycling system can potentially cause quality issues in the recycled material.",84%
Other plastic,Other plastic,"Plastic juice bottles, shampoo bottles, and yogurt tubs can all be recycled the same way, right? Unfortunately, this is far from the truth. When looking for how to recycle plastics, you’ll soon find that while these are all commonly recycled plastic items, they all have entirely different plastic recycling symbols. PETE or PET: Polyethylene terephthalate is usually accepted by most curbside recycling providers. HDPE: High-density polyethylene is often accepted by curbside recycling providers. However, some providers will only accept bottles, not liners or bags. PVC or V: Polyvinyl chloride is typically not accepted by curbside recycling providers. It’s occasionally accepted by plastic lumber makers. LDPE: Unfortunately, low-density polyethylene isn’t accepted by most curbside programs. It can, however, be brought to store drop-off locations. PP: Smaller polypropylene items, including bottles and toys, are sometimes accepted by curbside recycling programs. PS: ome curbside providers will accept polystyrene items, but check your local recycling regulations before putting any of it out. Miscellaneous: Other plastics like acrylic, nylon, and fiberglass.These items are usually not accepted by curbside providers in most locations.",45%
Drink can,Can,"Metal packaging is widely recycled. To check whether you can put cans, tins and foil into you home recycling enter your postcode below.Many of the food and drink products we buy are packaged in cans made from either aluminium or steel and both of these materials can be recycled after we have finished with them to make either new cans or other products. Aluminium cans are shredded, removing any coloured coating. They are then melted in a huge furnace. Steel cans are put into the furnace where molten iron is added. Oxygen is then blasted into the furnace which heats up to around 1700°C. The liquid metal is poured into a mould to form big slabs which are then rolled into coils. These coils are used to make all sorts of steel products such as bikes, cars, bridges, paperclips or even new food and drink cans. Tips 1: Empty and rinse items - left over foods or liquids can contaminate other recyclables. 2: You can leave labels on - these are removed in the recycling process. 3: Metal lids and caps on glass containers, e.g. metal jam jar lids, can be left on to recycle with glass. These are different types of metal to cans/tins/aerosols and are recycled in a different way. By putting the lids/caps back on glass jars and bottles it reduces the chance of them getting lost through the sorting process. 4: The plastic ring joiners that come with multi-packs of drinks cans can be recycled together with plastic film and carrier bags at collection points of larger supermarkets.",85%
Plastic bottle cap,Bottle cap,"Plastic caps don’t biodegrade, meaning it will take hundreds of years for them to decompose in a landfill. If you know your local program doesn’t accept caps, you should try to contain them in a plastic bag before putting them in your garbage bin. That way, they are less likely to end up as marine debris. If you’re at the beach and there are no recycling or trash bins around, take the bottles home with you instead of leaving them as litter.Assuming you left the cap on the bottle, the first step in the recycling process is to separate the bottles and caps into their individual resins. The material recovery facility (MRF) will use a pressurized system to expel caps and flatten bottles. Plastics are then soaked in water, where the bottle (made of #1 plastic) will sink and the cap (#2 or #5 plastic) will float.Recyclers will shred the #2 or #5 plastic into flakes, which are washed, rinsed and dried. Flakes are then melted into pellets, which are transported to a manufacturer to make new plastic caps or other materials, such as casing for car batteries, storage containers or reusable plastic bags.",30%
Other plastic wrapper,Plastic bag & wrapper,"Plastic bags, wraps, and films can't be recycled in your curbside recycling bins. But, you can take some of these items to local retail stores where they collect plastic grocery bags for recycling. Plastic wrap and film packaging are generally #2 and #4 plastic, both of which are recyclable. Most plastic bags are recycled into composite lumber, but can actually become a wide variety of products. Drop-off locations and curbside pick-up programs for these plastics are available all over the country.  Use reusable bags (such as the supermarket 'green bags') or a backpack for your shopping – just remember to take them with you to shops!
Instead of purchasing purpose-made plastic bags for your household rubbish, put dry or clean items straight into your bin. For wet or smelly garbage, such as non-compostable food scraps, try wrapping it in old bread bags, the bags from inside cereal boxes, or even a sheet of newspaper.
Reuse any plastic bags that you do have, and recycle them in the REDcycle collection bins at the supermarket if they're damaged.",84%
Plastic straw,Straw,"Typically no one re-uses uses plastic straws Do check with your local council or recycling scheme as to what types of plastic they accept. The labelling can be all a bit complicated and is an issue in itself. There are many different types and varying policies in regard to the collection and recycling of plastics. A little local knowledge will help you to make the right decisions about how to recycle plastic straws in your local area. and they are not dishwasher safe which doesn’t help. Alternative eco-friendly straws made of metal or glass can go in the dishwasher no problem and be reused.  Even if they are able to recycled in your local area, there’s another problem. They are often too light to be recycled. Because of their weight and size plastic straws tend to drop through the screens that sift out the heavier items in mechanised recycling plants. As a result they then still end up in a landfill, or worse, our seas. However, takeaways by definition are often eaten in our cars, by beaches, parks and so on. When disposing of plastic straws in a public space or bin they will almost certainly make their way into landfill. Once in landfill plastic straws can take up to 200 years to break down and decompose. Rather than throwing your plastic straws aways you can also use them for a range of home decorations or turn them into eco-bricks.",20%
Disposable plastic cup,Cup,"Whilst made predominantly out of paper, most disposable cups are coated with a layer of polyethylene plastic. These are not recyclable and will release methane gas when sent to landfill, a greenhouse gas 21 times the global warming potential of carbon dioxide. Honeycomb wall lamps : This lamp is made by cutting the cups into equal proportions and then arranging them in an order which looks pretty cool. This is a complete Eco-friendly gadget and is quite simple to make and also is affordable.It’s very rare that you will find a curbside recycling program that accepts paper cups, even if they are lined with bio-plastic. Some cities in California will accept paper cups with food waste, but you’ll want to check first. You can remove the paper sleeve for coffee cups and recycle that with corrugated cardboard. The plastic lid should be recyclable if your local program accepts #1-7 plastics in non-bottle form. The straw or stirrer should be thrown away. If you have a backyard compost bin and you purchase bio-based paper cups, you can try to compost them. The paper will break down, but you may have difficulty with the plastic lining.",25%
